[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 479, playerY = 466.9
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 476, playerY = 473.2
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 473, playerY = 473
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 470, playerY = 470
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 464, playerY = 464
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 461, playerY = 461
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 478, playerY = 466.9
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 475, playerY = 473.2
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 472, playerY = 472
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 469, playerY = 469
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 466, playerY = 466
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 463, playerY = 463
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 454, playerY = 454
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 451, playerY = 451
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 469, playerY = 464.5
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 472, playerY = 469.9
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 475, playerY = 475
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 478, playerY = 475
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 479, playerY = 475
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 476, playerY = 475
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 473, playerY = 473
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 470, playerY = 470
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 464, playerY = 464
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 461, playerY = 461
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 466.9
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 470, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 473, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 476, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 479, playerY = 467
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 478, playerY = 467
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 475, playerY = 467
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 472, playerY = 467
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 469, playerY = 467
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 466, playerY = 466
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 463, playerY = 463
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 454, playerY = 454
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 451, playerY = 451
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 469, playerY = 464.5
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 472, playerY = 469.9
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 475, playerY = 475
[SLOPE COLLISION] Tile: 3 at (11, 14), slopeY = 478, playerY = 475
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 479, playerY = 475
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 476, playerY = 475
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 473, playerY = 473
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 470, playerY = 470
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 464, playerY = 464
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 461, playerY = 461
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 466.9
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 464, playerY = 464
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 461, playerY = 461
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 466.9
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
[SLOPE COLLISION] Tile: 2 at (10, 14), slopeY = 467, playerY = 467
